Date,Close,FinanceCatCount
2025-04-07,5062.25,0.0
2025-04-08,4982.77001953125,0.0
2025-04-09,5456.89990234375,0.0
2025-04-10,5268.0498046875,0.0
2025-04-11,5363.35986328125,0.0
2025-04-14,5405.97021484375,0.0
2025-04-15,5396.6298828125,0.0
2025-04-16,5275.7001953125,0.0
2025-04-17,5282.7001953125,0.0
2025-04-21,5158.2001953125,0.0
2025-04-22,5287.759765625,0.0
2025-04-23,5375.85986328125,0.0
2025-04-24,5484.77001953125,0.0
2025-04-25,5525.2099609375,0.0
2025-04-28,5528.75,0.0
2025-04-29,5560.830078125,0.0
2025-04-30,5569.06005859375,0.0
2025-05-01,5604.14013671875,0.0
2025-05-02,5686.669921875,0.0
2025-05-05,5650.3798828125,0.0
2025-05-06,5624.60986328125,0.0
